Unnamed: 0,trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity,guess_binary,expressibility_dutch,SemanticSubcat,filename
138,85,practice,1,glimlach,geluiden,giechelen,0,10_2,2,10,2,smile,0.561,0,,,10_2_pr_84_p1_glimlach_geluiden_c0_final.avi
139,86,practice,1,glimlach,geluiden,catcallen,1,10_2,2,10,2,smile,1.429,0,,,10_2_pr_85_p1_glimlach_geluiden_c1_final.avi
140,87,practice,1,glimlach,geluiden,begroeten,2,10_2,2,10,2,smile,0.234,0,,,10_2_pr_86_p1_glimlach_geluiden_c2_final.avi
141,88,practice,1,sneeuw,geluiden,omweer,0,10_2,2,10,2,snow,0.381,0,,,10_2_pr_87_p1_sneeuw_geluiden_c0_final.avi
142,89,practice,1,sneeuw,geluiden,regen,1,10_2,2,10,2,snow,0.455,0,,,10_2_pr_88_p1_sneeuw_geluiden_c1_final.avi
143,90,practice,1,sneeuw,geluiden,winter,2,10_2,2,10,2,snow,0.603,0,,,10_2_pr_89_p1_sneeuw_geluiden_c2_final.avi
144,91,target,1,berg,geluiden,leeglopen,0,10_2,2,10,2,mountain,-0.046,0,0.292221991868001,environment,10_2_trial_90_p1_berg_geluiden_c0_final.avi
145,92,target,1,berg,geluiden,zuchten,1,10_2,2,10,2,mountain,0.063,0,0.292221991868001,environment,10_2_trial_91_p1_berg_geluiden_c1_final.avi
146,93,target,1,berg,geluiden,ontladen,2,10_2,2,10,2,mountain,0.032,0,0.292221991868001,environment,10_2_trial_92_p1_berg_geluiden_c2_final.avi
147,94,target,1,blazen,geluiden,blazen,0,10_2,2,10,2,to blow,1.0,1,0.805891834375597,vocal_oral,10_2_trial_93_p1_blazen_geluiden_c0_final.avi
148,95,target,1,vechten,geluiden,boksen,0,10_2,2,10,2,to fight,0.547,0,0.551944383571384,survival,10_2_trial_94_p1_vechten_geluiden_c0_final.avi
149,96,target,1,vechten,geluiden,vechten,1,10_2,2,10,2,to fight,1.0,1,0.551944383571384,survival,10_2_trial_95_p1_vechten_geluiden_c1_final.avi
150,97,target,1,geven,geluiden,nadenken,0,10_2,2,10,2,to give,0.232,0,0.275959375649482,manual,10_2_trial_96_p1_geven_geluiden_c0_final.avi
151,98,target,1,geven,geluiden,weten,1,10_2,2,10,2,to give,0.358,0,0.275959375649482,manual,10_2_trial_97_p1_geven_geluiden_c1_final.avi
152,99,target,1,geven,geluiden,begrijpen,2,10_2,2,10,2,to give,0.37,0,0.275959375649482,manual,10_2_trial_98_p1_geven_geluiden_c2_final.avi
153,100,target,1,grommen,geluiden,tijger,0,10_2,2,10,2,to growl,0.137,0,0.751462893836329,vocal_oral,10_2_trial_99_p1_grommen_geluiden_c0_final.avi
154,101,target,1,grommen,geluiden,leeuw,1,10_2,2,10,2,to growl,0.108,0,0.751462893836329,vocal_oral,10_2_trial_100_p1_grommen_geluiden_c1_final.avi
155,102,target,1,grommen,geluiden,grommen,2,10_2,2,10,2,to growl,1.0,1,0.751462893836329,vocal_oral,10_2_trial_101_p1_grommen_geluiden_c2_final.avi
156,103,target,1,lopen,geluiden,wandelen,0,10_2,2,10,2,to walk,0.751,0,0.319057764809126,locomotion,10_2_trial_102_p1_lopen_geluiden_c0_final.avi
157,104,target,1,lopen,geluiden,tikken,1,10_2,2,10,2,to walk,0.256,0,0.319057764809126,locomotion,10_2_trial_103_p1_lopen_geluiden_c1_final.avi
158,105,target,1,fluisteren,geluiden,fluisteren,0,10_2,2,10,2,to whisper,1.0,1,0.703341393070909,auditory,10_2_trial_104_p1_fluisteren_geluiden_c0_final.avi
159,1,practice,0,rijk,combinatie,geld,0,11_1,1,11,3,rich,0.171,0,,,11_1_pr_0_p0_rijk_combinatie_final.avi
160,2,practice,0,leeg,combinatie,honger,0,11_1,1,11,3,empty,0.175,0,,,11_1_pr_1_p0_leeg_combinatie_final.avi
161,3,target,0,hond,combinatie,hond,0,11_1,1,11,3,dog,1.0,1,0.779877846324741,animal,11_1_trial_2_p0_hond_combinatie_final.avi
162,4,target,0,hoorn,combinatie,geluid,0,11_1,1,11,3,horn,0.474,0,0.523817227867007,other,11_1_trial_3_p0_hoorn_combinatie_final.avi
163,5,target,0,geur,combinatie,ruiken,0,11_1,1,11,3,odor,0.867,0,0.665167842854809,olfactory,11_1_trial_4_p0_geur_combinatie_final.avi
164,6,target,0,oud,combinatie,bejaarde,0,11_1,1,11,3,old,0.598,0,0.598288311266584,time,11_1_trial_5_p0_oud_combinatie_final.avi
165,7,target,0,kruipen,combinatie,baby,0,11_1,1,11,3,to crawl,0.047,0,0.786001237160513,locomotion,11_1_trial_6_p0_kruipen_combinatie_final.avi
166,8,target,0,drinken,combinatie,drinken,0,11_1,1,11,3,to drink,1.0,1,0.809230111883697,vocal_oral,11_1_trial_7_p0_drinken_combinatie_final.avi
167,9,target,0,water,combinatie,water,0,11_1,1,11,3,water,1.0,1,0.574876010515767,environment,11_1_trial_8_p0_water_combinatie_final.avi
