"trial_order","dyad","participant_dyad","participant_ID","exp_part","modality","expressibility_dutch","concept","correction","guess_binary","cosine_similarity","stimulus","answer","SemanticSubcat","sessionID"
62,11,1,4,2,"combined",0.639905020121821,"loud",0,0,0.734,"luidruchtig","schreeuwen","auditory","11_2"
63,11,1,4,2,"combined",0.639905020121821,"loud",1,0,0.653,"luidruchtig","roepen","auditory","11_2"
64,11,1,4,2,"combined",0.639905020121821,"loud",2,0,0.533,"luidruchtig","aanvallen","auditory","11_2"
65,11,1,4,2,"combined",0.63512643878935,"mountain",0,0,0.704,"berg","klimmen","environment","11_2"
66,11,1,4,2,"combined",0.63512643878935,"mountain",1,0,0.82665,"berg","bergwandeling","environment","11_2"
67,11,1,4,2,"combined",0.63512643878935,"mountain",2,1,1,"berg","berg","environment","11_2"
68,11,1,4,2,"combined",0.770642312607539,"thick",0,1,1,"dik","dik","quantity","11_2"
69,11,1,4,2,"combined",0.820194675119722,"to fight",0,1,1,"vechten","vechten","survival","11_2"
70,11,1,4,2,"combined",0.65119202306575,"to give",0,1,1,"geven","geven","manual","11_2"
71,11,1,4,2,"combined",0.762309813460577,"to smell",0,1,1,"ruiken","ruiken","olfactory","11_2"
72,11,1,4,2,"combined",0.588114856958718,"to stand",0,0,0.531,"staan","tevreden","locomotion","11_2"
73,11,1,4,2,"combined",0.588114856958718,"to stand",1,1,1,"staan","staan","locomotion","11_2"
76,11,0,3,2,"gesture",0.561592930943448,"child",0,0,0.54,"kind","dansen","social","11_2"
77,11,0,3,2,"gesture",0.561592930943448,"child",1,0,0.881,"kind","baby","social","11_2"
78,11,0,3,2,"gesture",0.561592930943448,"child",2,1,1,"kind","kind","social","11_2"
79,11,0,3,2,"gesture",0.504368306013113,"maybe",0,0,0.642,"misschien","twijfelen","logical","11_2"
80,11,0,3,2,"gesture",0.504368306013113,"maybe",1,0,0.532,"misschien","besluiteloos","logical","11_2"
81,11,0,3,2,"gesture",0.504368306013113,"maybe",2,0,0.59,"misschien","matig","logical","11_2"
82,11,0,3,2,"gesture",0.713438710786138,"scared",0,0,0.874,"bang","schrikken","valence","11_2"
83,11,0,3,2,"gesture",0.713438710786138,"scared",1,0,0.727,"bang","terugdeinzen","valence","11_2"
84,11,0,3,2,"gesture",0.713438710786138,"scared",2,1,1,"bang","bang","valence","11_2"
85,11,0,3,2,"gesture",0.818566029243692,"silent",0,1,1,"stil","stil","auditory","11_2"
86,11,0,3,2,"gesture",0.732601016130094,"to chew",0,0,0.664,"kauwen","kaak","gustatory","11_2"
87,11,0,3,2,"gesture",0.732601016130094,"to chew",1,0,0.605,"kauwen","praten","gustatory","11_2"
88,11,0,3,2,"gesture",0.732601016130094,"to chew",2,1,1,"kauwen","kauwen","gustatory","11_2"
89,11,0,3,2,"gesture",0.533166466445803,"to growl",0,0,0.554,"grommen","leeuw","vocal_oral","11_2"
90,11,0,3,2,"gesture",0.533166466445803,"to growl",1,0,0.538,"grommen","tanden","vocal_oral","11_2"
91,11,0,3,2,"gesture",0.533166466445803,"to growl",2,0,0.493,"grommen","vampier","vocal_oral","11_2"
92,11,0,3,2,"gesture",0.829267273459481,"to swim",0,1,1,"zwemmen","zwemmen","locomotion","11_2"
99,11,1,4,2,"gesture",0.696928502541587,"I",0,0,0.532,"ik","hoofd","social","11_2"
100,11,1,4,2,"gesture",0.696928502541587,"I",1,0,0.578,"ik","persoonlijkheid","social","11_2"
101,11,1,4,2,"gesture",0.696928502541587,"I",2,0,0.923,"ik","ikzelf","social","11_2"
102,11,1,4,2,"gesture",0.75602172047801,"dead",0,1,1,"dood","dood","animate","11_2"
103,11,1,4,2,"gesture",0.577545048933384,"far",0,0,0.584,"ver","kijken","spatial","11_2"
104,11,1,4,2,"gesture",0.577545048933384,"far",1,0,0.88335,"ver","ver weg","spatial","11_2"
105,11,1,4,2,"gesture",0.69659625199764,"fish",0,1,1,"vis","vis","animal","11_2"
106,11,1,4,2,"gesture",0.59811289452599,"fly",0,0,0.576,"vlieg","sprenkelen","animal","11_2"
107,11,1,4,2,"gesture",0.59811289452599,"fly",1,0,0.738,"vlieg","zweven","animal","11_2"
108,11,1,4,2,"gesture",0.59811289452599,"fly",2,0,0.633,"vlieg","vogeltje","animal","11_2"
109,11,1,4,2,"gesture",0.689425946655567,"slow",0,0,0.948,"langzaam","traag","manner","11_2"
110,11,1,4,2,"gesture",0.834800108850706,"to jump",0,0,0.633,"springen","dansen","locomotion","11_2"
111,11,1,4,2,"gesture",0.834800108850706,"to jump",1,1,1,"springen","springen","locomotion","11_2"
3,12,0,5,1,"gesture",0.696928502541587,"I",0,1,1,"ik","ik","social","12_1"
4,12,0,5,1,"gesture",0.75602172047801,"dead",0,1,1,"dood","dood","animate","12_1"
5,12,0,5,1,"gesture",0.714505262077287,"fast",0,0,0.688,"snel","rennen","manner","12_1"
6,12,0,5,1,"gesture",0.504368306013113,"maybe",0,0,0.642,"misschien","twijfelen","logical","12_1"
